各省卫视,#genre#
黑龙江卫视,http://cctvalih5ca.v.myalicdn.com/wstv/heilongjiang_2/index.m3u8
兵团卫视,http://by4.nty.tv189.cn/live/tm-bingtuantv-800k.m3u8
河北卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/hebei_2/index.m3u8
海南卫视,http://by4.nty.tv189.cn/live/tm-traveltv-800k.m3u8
亚旅卫视,http://hls.jingchangkan.tv/jingchangkan/156722438_0HaM/index.m3u8
陕西卫视高清,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225896/1.m3u8
东南卫视,https://cctvtxyh5ca.liveplay.myqcloud.com/wstv/dongnan_2/index.m3u8
央视HD,#genre#
CCTV1HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226527/index.m3u8
CCTV2HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226468/index.m3u8
CCTV4HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226562/index.m3u8
CCTV5HD[1920*1080],http://112.17.40.6:80/PLTV/88888888/224/3221226400/index.m3u8
CCTV6HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226433/index.m3u8
CCTV7HD[1920*1080],http://112.17.40.140/PLTV/88888888/224/3221226122/index.m3u8
CCTV8HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8
CCTV9HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226561/index.m3u8
CCTV10HD[785*576],http://112.17.40.140/PLTV/88888888/224/3221226472/index.m3u8
CCTV11HD[785*576],http://112.17.40.140/PLTV/88888888/224/3221226219/index.m3u8
CCTV12HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226563/index.m3u8
CCTV13HD[785*576],http://112.17.40.140/PLTV/88888888/224/3221226193/index.m3u8
CCTV14HD[1280*720],http://112.17.40.140/PLTV/88888888/224/3221226565/index.m3u8
CCTV15HD[785*576],http://112.17.40.140/PLTV/88888888/224/3221226112/index.m3u8
CCTV17HD[1920*1080],http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8
广东全套,#genre#
广东卫视高清,http://suo.im/5BHZro
广东珠江,http://suo.im/5Jecw5
广东影视,http://suo.im/5QGdbC
珠江电影,http://suo.im/652fRM
广东体育,http://suo.im/6cysWt
南方卫视,http://suo.im/6slt02
广东公共,http://suo.im/5BHZta
岭南戏曲,http://suo.im/5QGdbM
广东少儿,http://suo.im/652fRW
英语辅导,http://suo.im/6cysWD
南方卫视上星,http://suo.im/6k4G1k
广东经济科教,http://suo.im/6slt0c
广东IPTV影视推荐,http://suo.im/5ubMoD
嘉佳卡通,http://suo.im/5BHZtk
广东综艺,http://suo.im/5Jecgh
广东新闻,http://suo.im/5QGdbW
现代教育,http://suo.im/652fS6
广东国际,http://suo.im/6k4G1u
广东国际美洲台,http://suo.im/6kPiwX
高尔夫,http://suo.im/5ubMoN
南方购物,http://suo.im/5BHZrS
广东房产,http://suo.im/5Xw2Nz
中国交通广东,http://suo.im/652fSg
广州少儿高清,http://suo.im/6cysWX
广州影视高清,http://suo.im/6kPix7
广州综合高清,http://suo.im/6slt0w
广州新闻高清,http://suo.im/5ubMnl
番禺融媒高清,http://suo.im/5JecgB
广州竞赛高清,http://suo.im/5QGdcg
广州生活高清,http://suo.im/5Xw2NJ
广州法治高清,http://suo.im/6cysX7
深圳卫视高清,http://suo.im/6k4G1O
深圳蛇口,http://suo.im/6kPixh
佛山影视,http://suo.im/6slsZ4
佛山顺德,http://suo.im/5BHZsc
佛山三水,http://suo.im/5JecgL
佛山南海,http://suo.im/5QGdcq
佛山新闻综合,http://suo.im/652fSA
佛山公共,http://suo.im/6cysXh
佛山高明,http://suo.im/6k4G1Y
东莞1,http://suo.im/5ubMnF
东莞2,http://suo.im/5BHZsm
珠海综合,http://suo.im/5QGdcA
五华综合,http://suo.im/5Xw2O3
丰顺影视,http://suo.im/652fSK
梅州公共,http://suo.im/6k4G0w
梅州综合,http://suo.im/6kPivZ
五华信息,http://suo.im/6slsZo
惠州,http://suo.im/5ubMnP
惠阳,http://suo.im/5BHZsw
惠东,http://suo.im/5Jech5
河源公共,http://suo.im/5QGdcK
河源综合,http://suo.im/5Xw2Od
清远综合,http://suo.im/652fSU
清远公共,http://suo.im/6cysVZ
潮州综合,http://suo.im/6k4G0G
潮州公共,http://suo.im/6slsZy
潮安综合,http://suo.im/5ubMnZ
普宁电视台,http://suo.im/5QGdcU
揭阳综合,http://suo.im/652fRs
揭阳公共,http://suo.im/6kPiwj
汕头综合,http://suo.im/5ubMo9
汕头经济,http://suo.im/5QGdd4
汕头公共,http://suo.im/652fRC
汕尾新闻综合,http://suo.im/6cysWj
汕尾公共,http://suo.im/6k4G10
肇庆新闻综合,http://suo.im/6slsZS
云浮综合,http://suo.im/5ubMoj
台山电视台,http://suo.im/5BHZt0
开平生活,http://suo.im/5QGdde
开平综合,http://suo.im/5Xw2OH
江门综合,http://suo.im/652fTo
江门教育,http://suo.im/6k4G2M
鹤山综合,http://suo.im/6kPiyf
韶关综合,http://suo.im/6slt1E
阳西公共,http://suo.im/5BHZeE
阳江综合,http://suo.im/5Jecjl
阳江公共,http://suo.im/5QGddo
茂名综合,http://suo.im/652fTy
茂名公共,http://suo.im/6cysYf
电白综合,http://suo.im/6kPiyp
电白视窗,http://suo.im/6slt1O
湛江综合,http://suo.im/5ubMqf
湛江公共,http://suo.im/5BHZeO
地方频道,#genre#
江苏影视[1047*576],http://223.110.243.134/PLTV/4/224/3221225937/index.m3u8
潮安影视[640*360],http://chaoan.chaoantv.com:8278/live/chaoanyingshi.m3u8
潮安综合[640*360],http://chaoan.chaoantv.com:8278/live/chaoanzongyi.m3u8
峨边电视台[720*576],http://218.6.224.15:8011/vms/videos/channellive/channel15/playlist.m3u8
河口综合[720*576],http://221.3.215.44:9099/hktv/hktv.m3u8
徐州新闻综合[1280*720],http://183.207.248.11/PLTV/3/224/3221225945/index.m3u8
河北影视[655*480],http://weblive.hebtv.com/live/hbys_bq/index.m3u8
万州区电视台综合[1024*576],http://123.146.162.24:8017/iTXwrGs/800/live.m3u8
黔江区电视台[785*576],http://qianjianglive.cbg.cn:9001/hls/live/live1/starsam.m3u8
黔江区电视台武陵[785*576],http://qianjianglive.cbg.cn:9001/hls/live/live2/starsam.m3u8
黔江区电视台生态文化[785*576],http://qianjianglive.cbg.cn:9001/hls/live/live3/starsam.m3u8
北京文艺HD[1920*1080],http://ivi.bupt.edu.cn/hls/btv2hd.m3u8
舟山公共生活[640*480],http://live.wifizs.cn/ggsh/sd/live.m3u8
舟山群岛旅游[640*480],http://live.wifizs.cn/qdly/sd/live.m3u8
江津区电视台文化旅游[768*576],http://222.179.155.21:1935/ch2.m3u8
广东新闻频道[640*480],http://nclive.grtn.cn/xwpd/sd/live.m3u8
广东公共频道[640*480],http://nclive.grtn.cn/ggpd/sd/live.m3u8
广东房产频道[640*480],http://nclive.grtn.cn/fcpd/sd/live.m3u8
北京科教[785*576],http://ivi.bupt.edu.cn/hls/btv3.m3u8
湖北影视[785*576],http://live.cjyun.org/video/s10008-hbys2018/index.m3u8
滨海综艺[720*576],http://60.30.52.41/live/bhtv2/playlist.m3u8
滨海新闻[720*576],http://60.30.52.41/live/bhtv1/playlist.m3u8
北京青年[785*576],http://ivi.bupt.edu.cn/hls/btv8.m3u8
阜阳公共频道[720*576],http://120.210.216.73:8080/ysten-business/reallive/fyggpd/1.m3u8
阜阳新闻综合[720*576],http://120.210.216.73:8080/ysten-business/reallive/fyxwpd/1.m3u8
滨州新闻综合[720*576],http://stream.bzcm.net/2/sd/live.m3u8
湖北休闲指南[720*576],http://live.cjyun.org/video/s10008-klcz2018/index.m3u8
湖北综合[1920*1080],http://live.cjyun.org/video/s10008-zh2018/index.m3u8
滨州公共电视剧[720*576],http://stream.bzcm.net/1/sd/live.m3u8
万州区电视台影视文艺[1024*576],http://wanzhoulive.cbg.cn:8017/d4ceB1a/1000/live.m3u8
阜阳教育频道[720*576],http://120.210.216.73:8080/ysten-business/reallive/fydspd/1.m3u8
万州区电视台科教[1024*576],http://wanzhoulive.cbg.cn:8017/Cz7WPb8/800/live.m3u8
丰都文化旅游[785*576],http://125.62.25.201:1936/output0.m3u8
长丰新闻综合[768*576],http://218.23.114.19:1935/live/xinwen/playlist.m3u8
滁州科教频道[800*450],http://183.167.193.45:1935/live/cztvkj/playlist.m3u8
嘉兴海盐新闻综合[640*480],http://haiyan.liveyun.hoge.cn/xwpd/sd/live.m3u8
大竹阳光政务[1920*1080],http://175.153.153.53:8083/videos/live/17/51/958cxpfHCjqwj/958cxpfHCjqwj.M3U8
大竹新闻综合[1920*1080],http://175.153.153.53:8083/videos/live/50/0/fvfm8SqxEkQGt/fvfm8SqxEkQGt.M3U8
万州区电视台三峡移民[1024*576],http://wanzhoulive.cbg.cn:8017/c2F0hmi/1000/live.m3u8
金华都市农村[768*576],http://stream.jinhua.com.cn/dsnc/app/live.m3u8
安庆公共频道[640*480],http://live.aqbtv.cn:9600/live/ggpd_100/tzwj_video.m3u8
红河州新闻综合[720*576],http://221.3.215.43:9099/ch1/ch1.m3u8
红河州经济生活[720*576],http://221.3.215.43:9099/ch2/ch2.m3u8
红河县综合[720*576],http://221.3.215.43:9099/hhtv/hhtv.m3u8
个旧综合[720*576],http://221.3.215.44:9099/gjtv/gjtv.m3u8
福州影视频道[960*720],http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
安庆黄梅戏频道[640*480],http://live.aqbtv.cn:9600/live/hmx/tzwj_video.m3u8
怀柔电视台[800*450],http://live.huairtv.com:1935/dvrLive/hrtvmb/playlist.m3u8
垫江县电视台丹乡文化[785*576],http://dianjianglive.cbg.cn:8010/hls/stream/qcx9dxe6.m3u8
金华教育科技[768*576],http://stream.jinhua.com.cn/jykj/app/live.m3u8
蚌埠生活频道[720*576],http://newvod.ahbbtv.com:1935/live/smil:shpd_copy.smil/playlist.m3u8
东至新闻综合[1280*720],http://223.247.33.124:1935/live/zonghe/playlist.m3u8
抚州公共频道[320*270],http://111.75.179.195:30767/video/live_vide2.m3u8
抚州综合频道[320*270],http://111.75.179.195:30767/video/live_vide.m3u8
蚌埠新闻综合[720*576],http://newvod.ahbbtv.com:1935/live/smil:xwpd_copy.smil/playlist.m3u8
长春综合[768*576],http://stream2.jlntv.cn/jlcc/sd/live.m3u8
潮州公共[640*480],http://live.zscz0768.com/live/ggpd.m3u8
河池新闻综合[720*576],http://222.218.142.198:81/hls/ch3.m3u8
河池教育频道[720*576],http://222.218.142.198:81/hls/jy3.m3u8
万盛区电视台新闻综合[720*576],http://qxlmlive.cbg.cn:1935/app_2/ls_40.stream/playlist.m3u8
綦江区电视台综合[768*576],http://qxlmlive.cbg.cn:1935/app_2/_definst_/ls_25.stream/playlist.m3u8
江门综合[1920*1080],http://218.17.99.211:82/hls/d4encs75.m3u8
巴中公共频道[1920*1080],http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_247.m3u8
山东影视[720*406],http://ksdlive.gwpd.iqilu.com/yspd.m3u8
嘉善新闻综合[720*576],http://116.62.31.234:1935/jsgdxwzh/myStream/playlist.m3u8
绩溪新闻频道[768*576],http://124.112.228.134:1935/live/zongyi/playlist.m3u8
开州区电视台综合[1280*720],http://kaixianlive.cbg.cn:10345/1.m3u8
肥西生活频道[768*576],http://60.168.145.236:1936/live/movie/playlist.m3u8
嘉善善文化[720*576],http://116.62.31.234:1935/jsgdswh/myStream/playlist.m3u8
巴中综合频道[1920*1080],http://30814.hlsplay.aodianyun.com/lms_30814/tv_channel_246.m3u8
忠县电视台综合[785*576],http://qxlmlive.cbg.cn:1935/app_2/_definst_/ls_35.stream/playlist.m3u8
长寿区电视台综合[720*576],http://qxlmlive.cbg.cn:1935/app_2/ls_63.stream/playlist.m3u8
开州区电视台生活[1280*720],http://kaixianlive.cbg.cn:10345/5.m3u8
阜阳都市频道[720*576],http://120.210.216.73:8080/ysten-business/reallive/fyjypd/1.m3u8
江津经济生活[768*576],http://222.179.155.21:1935/ch0.m3u8
安图民声频道[1280*720],http://32004.hlsplay.aodianyun.com/guangdianyun_32004/tv_channel_199.m3u8
潮安综合[960*540],http://chaoan.chaoantv.com:8278/zongyi_1028/playlist.m3u8
江津新闻综合[768*576],http://222.179.155.21:1935/ch1.m3u8
潮安综合[640*360],http://chaoan.chaoantv.com:8278/zongyi_728/playlist.m3u8
焦作公共频道[785*576],http://222.143.133.157:90/hls/pd2.m3u8
潮州综合[640*480],http://live.zscz0768.com/live/zhpd.m3u8
焦作教育频道[785*576],http://222.143.133.157:90/hls/pd3.m3u8
成安综艺[960*720],http://hbca.chinashadt.com:1936/live/stream:cakl.stream_720p/playlist.m3u8
焦作综合频道[785*576],http://222.143.133.157:90/hls/pd1.m3u8
安图综合频道[1280*720],http://32004.hlsplay.aodianyun.com/guangdianyun_32004/tv_channel_200.m3u8
磁县综合频道[1047*576],http://hbcx.chinashadt.com:1937/live/stream:hdxw.stream/playlist.m3u8
成安综合[960*720],http://hbca.chinashadt.com:1936/live/stream:cazh.stream_720p/playlist.m3u8
德化新闻综合[768*576],http://zb.dehua.tv:8134/hls-live/livepkgr/_definst_/wslhevent/hls_pindao_1_500.m3u8
滁州公共频道[800*450],http://183.167.193.45:1935/live/cztvgg/playlist.m3u8
郑州地铁2频道[640*360],http://218.29.90.216:280/live/s2/index.m3u8
濮阳公共频道[720*576],http://218.29.171.2:380/live/py2/index.m3u8
德阳新闻综合[1280*720],http://scdytv.com:1935/live/xwpd_livevideo/palylist.m3u8
江西卫视(移动线路),http://huaweicdn.hb.chinamobile.com/PLTV/2510088/224/3221225914/3.m3u8
安徽卫视(移动线路),http://huaweicdn.hb.chinamobile.com/PLTV/2510088/224/3221225915/3.m3u8
天津卫视(移动线路),http://huaweicdn.hb.chinamobile.com/PLTV/2510088/224/3221225960/3.m3u8
东南卫视(移动线路),http://huaweicdn.hb.chinamobile.com/PLTV/2510088/224/3221225961/3.m3u8
厦门一套,http://cstv.live.wscdns.com/live/xiamen1/playlist.m3u8
厦门三套,http://cstv.live.wscdns.com/live/xiamen3/playlist.m3u8
厦门二套,http://cstv.live.wscdns.com/live/xiamen2/playlist.m3u8
山东教育电视台,http://223.110.241.139:6610/gitv/live1/G_SDETV/G_SDETV/
安多卫视,http://223.110.241.139:6610/gitv/live1/G_ANDUO/G_ANDUO/
考试在线,http://223.110.241.139:6610/gitv/live1/G_KAOSHIZX/G_KAOSHIZX/
农林卫视,http://223.110.241.139:6610/gitv/live1/G_NONGLIN/G_NONGLIN/
置业频道,http://223.110.241.139:6610/gitv/live1/G_ZHIYE/G_ZHIYE/
康巴卫视,http://223.110.241.139:6610/gitv/live1/G_KANGBA/G_KANGBA/
京视剧场,http://223.110.241.139:6610/gitv/live1/G_JINGJU/G_JINGJU/
新娱乐,http://223.110.241.139:6610/gitv/live1/G_XINYULE/G_XINYULE/
家庭理财,http://223.110.241.139:6610/gitv/live1/G_JIATINGLC/G_JIATINGLC/
职业指南,http://223.110.241.139:6610/gitv/live1/G_ZHIYEZN/G_ZHIYEZN/
证券资讯,http://223.110.241.139:6610/gitv/live1/G_ZHENGJUANZX/G_ZHENGJUANZX/
中国交通频道,http://223.110.241.139:6610/gitv/live1/G_ZHONGGUOJT/G_ZHONGGUOJT/
国学频道,http://223.110.241.139:6610/gitv/live1/G_GUOXUE/G_GUOXUE/
江苏教育,http://223.110.241.139:6610/gitv/live1/G_JSJY/G_JSJY/
江苏城市,http://223.110.241.139:6610/gitv/live1/G_JSCS/G_JSCS/
江苏公共,http://223.110.241.139:6610/gitv/live1/G_JSGG/G_JSGG/
江苏影视,http://223.110.241.139:6610/gitv/live1/G_JSYS/G_JSYS/
江苏综艺,http://223.110.241.139:6610/gitv/live1/G_JSZY/G_JSZY/
好享购,http://223.110.241.139:6610/gitv/live1/G_HAOXIANG/G_HAOXIANG/
南京新闻综合,http://223.110.241.139:6610/gitv/live1/G_NJXW/G_NJXW/
南京科教,http://223.110.241.139:6610/gitv/live1/G_NJJK/G_NJJK/
南京十八,http://223.110.241.139:6610/gitv/live1/G_NJSB/G_NJSB/
湖南卫视超清-8M,http://223.110.241.139:6610/gitv/live1/G_HUNAN-CQ/G_HUNAN-CQ/
江苏卫视超清,http://223.110.241.139:6610/gitv/live1/G_JIANGSU-CQ/G_JIANGSU-CQ/
北京卫视超清-8M,http://223.110.241.139:6610/gitv/live1/G_BEIJING-CQ/G_BEIJING-CQ/
浙江卫视超清,http://223.110.241.139:6610/gitv/live1/G_ZHEJIANG-CQ/G_ZHEJIANG-CQ/
东方卫视超清-8M,http://223.110.241.139:6610/gitv/live1/G_DONGFANG-CQ/G_DONGFANG-CQ/
广东综艺 4k,http://dslive.grtn.cn/4K/sd/live.m3u8
TVS2,http://223.110.245.153/ott.js.chinamobile.com/PLTV/3/224/3221227005/index.m3u8
西藏卫视,http://ivi.bupt.edu.cn/hls/xztv.m3u8
西藏卫视,http://m-tvlmedia.public.bcs.ysten.com/ysten-business/live/xizangstv/1.m3u8
西藏卫视,http://121.31.30.90:8085/ysten-business/live/xizangstv/1.m3u8
西藏卫视,http://183.207.248.11/PLTV/3/224/3221225579/index.m3u8
西藏卫视,http://121.31.30.90:8085/ysten-business/live/xizangstv/yst.m3u8
深圳体育健康,http://www.szmgiptv.com:14436/hls/10.m3u8
深圳都市,http://www.szmgiptv.com:14436/hls/8.m3u8
深圳DV生活,http://www.szmgiptv.com:14436/hls/9.m3u8
深圳公共,http://www.szmgiptv.com:14436/hls/23.m3u8
深圳娱乐,http://www.szmgiptv.com:14436/hls/22.m3u8
南京少儿,http://live.nbs.cn/channels/njtv/sepd/m3u8:500k/live.m3u8
国际频道,#genre#
全天新闻,https://n24-cdn-live.ntv.co.jp/ch01/index.m3u8
日本Japan News 24,http://www.news24.jp/livestream/index.m3u8
日本NHK华语,https://nhkw-zh-hlscomp.akamaized.net/ixxemlzk1vqvy44o/playlist.m3u8
点掌财经,http://cclive2.aniu.tv/live/anzb.m3u8
日本NHK英语,https://nhkwlive-ojp.akamaized.net/hls/live/2003459/nhkwlive-ojp/index_1M.m3u8
韩国EBS 第一频道,http://ebsonairios.ebs.co.kr/groundwavetablet500k/tablet500k/playlist.m3u8
韩国EBS 少儿频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/tablet500k/playlist.m3u8
韩国KCTV,http://119.77.96.184:1935/chn21/chn21/chunklist_w252131137.m3u8
韩国UBC SBS,http://59.25.202.81:1935/live/UBCstream/chunklist_w1495115977.m3u8
朝鲜中央台,http://119.77.96.184:1935/chn05/chn05/chunklist_w644291506.m3u8
韩国KOREA YTN,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
韩国KTV 韩国电视,http://218.38.152.31:1935/klive/klive.stream/playlist.m3u8
韩国EBS 儿童频道,http://ebsonairios.ebs.co.kr/ebsutablet500k/_definst_/tablet500k/chunklist_w1965791004.m3u8
韩国阿里郎WORLDworld,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch.smil/playlist.m3u8
韩国阿里郎WORLD,http://amdlive.ctnd.com.edgesuite.net/arirang_1ch/smil:arirang_1ch/master.m3u8
TBS News Bird,http://tbs1.media.ylive.jp/d6d710ed2c204b4cb9ffea55a16a5f40/ap-northeast-1/5690807595001/profile_0/chunklist.m3u8
KOREA YTN Science,http://slive.sciencetv.kr:1935/science/yslive_20140419_1/playlist.m3u8
Luxury World,http://nano.teleservice.su:8080/hls/luxury.m3u8
韩国BBS佛教广播,http://bbstv.clouducs.com:1935/bbstv-live/livestream/chunklist_w1403706733.m3u8
CPAC,http://bcoveliveios-i.akamaihd.net/hls/live/248519/1242843915001_1/master.m3u8
BabyFirst,http://ms003.happytv.com.tw/live/F9YMztT5DcwWEr1f/index.m3u8
CGTN 国际频道,http://live.cgtn.com/1000/prog_index.m3u8
CGTN 记录频道,http://live.cgtn.com/1000d/prog_index.m3u8
CGTN 法语频道,http://live.cgtn.com/1000f/prog_index.m3u8
中国环球,http://live.cgtn.com/1000/prog_index.m3u8
狗狗宠物,http://video.blivenyc.com/broadcast/prod/2061/22/file-3192k.m3u8
红牛运动,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
法国时尚,http://lb.streaming.sk/fashiontv/stream/chunklist_w1702070444.m3u8
FOX 体育新闻,https://austchannel-live.akamaized.net/hls/live/2002736/austchannel-sport/master1280x720.m3u8
亚洲新闻,http://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_4.m3u8
亚洲新闻,https://d2e1asnsl7br7b.cloudfront.net/7782e205e72f43aeb4a48ec97f66ebbe/index_3.m3u8
朝阳频道,http://d11h6a6nhl9kj9.cloudfront.net/hls/suriactv/master02.m3u8
越南人民报,http://27.118.16.98:1935/live/truyenhinhnhandan720/chunklist_w2006762604.m3u8
越南人民报,http://vietcago.net/vstv/thnd.m3u8
越南人民报,https://5952e4052a2e8.streamlock.net/live/smil:thienviet.smil/chunklist_w1106175008_b1544100_sleng.m3u8
印度音乐电视,http://104.237.60.234/live/gabruutv.m3u8?dsjtv.m3u8
法国中国环球,http://live.cgtn.com/1000f/prog_index.m3u8
法国第五世界台,http://v3plusinfo247hls-i.akamaihd.net/hls/live/218877-b/v3plusinfo247hls/v3plusinfo247hls_1_1.m3u8
法国24台 (英语),http://f24hls-i.akamaihd.net/hls/live/221193-b/F24_EN_LO_HLS/master_900.m3u8
法国24台 (法语),http://f24hls-i.akamaihd.net/hls/live/221192/F24_FR_LO_HLS/master_900.m3u8
阿拉伯中国环球,http://live.cgtn.com/1000a/prog_index.m3u8
俄罗斯军事频道,http://serv25.vintera.tv:8081/parad/patriot/playlist.m3u8
俄罗斯中国环球,http://live.cgtn.com/1000r/prog_index.m3u8
俄罗斯俄罗斯一台,http://a787201928-s26881.cdn.ngenix.net/hls/russia_hd/playlist_3.m3u8
俄罗斯HD时尚频道,http://95.67.47.115/hls/hdfashion_ua_hi/index.m3u8
乌克兰M2 音乐频道,http://live.m2.tv/hls3/stream.m3u8
西班牙皇马足球,http://rmtv24hweblive-lh.akamaihd.net/i/rmtv24hwebes_1@300661/index_3_av-p.m3u8
西班牙中国环球,http://livees.cgtn.com/1000e/prog_index.m3u8
西班牙盛兴电视台,https://mdslivehls-i.akamaihd.net/hls/live/571648/divinity/bitrate_4.m3u8
西班牙活力电视台,https://mdslivehlsb-i.akamaihd.net/hls/live/623617/energy/bitrate_3.m3u8
西班牙啵嘤卡通台,https://mdslivehlsb-i.akamaihd.net/hls/live/623616/boing/bitrate_3.m3u8
意大利Rai高清,http://b2everyrai-lh.akamaihd.net/i/raigulp_1@66350/master.m3u8
意大利Rai 少儿,http://b2everyrai-lh.akamaihd.net/i/raiyoyo_1@191405/master.m3u8
意大利Rai 电影,http://b2everyrai-lh.akamaihd.net/i/raimovie_1@67348/master.m3u8
意大利意大利电台,http://radioitaliatv-lh.akamaihd.net/i/radioitaliatv_1@329645/index_720x480_av-p.m3u8
意大利V2 音乐频道,http://de1se01.v2beat.live/playlist.m3u8
墨西哥墨西哥电视,http://bcoveliveios-i.akamaihd.net/hls/live/201661/57828478001/milenio_center_512k@51752.m3u8
音乐20TV,http://m2otv-lh.akamaihd.net/i/m2oTv_1@186074/index_600_av-p.m3u8
当红MTV,http://unilivemtveu-lh.akamaihd.net/i/mtvno_1@346424/index_3500_av-b.m3u8
WSVI-TV,http://dcunilive30-lh.akamaihd.net/i/dclive_1@534251/master.m3u8?fluxustv.m3u8
酷酷频道,http://edge1.tikilive.com:1935/unrestricted_tikilive/25947/amlst:NWKlw6jwyXpz/chunklist_w981409619_b1105254.m3u8?fluxustv.m3u8
红牛电视,http://rbmn-live.akamaized.net/hls/live/590964/BoRB-AT/master_1660.m3u8
NBC电视,http://161.0.157.51/PLTV/88888888/224/3221227040/index.m3u8?fluxustv.m3u8
Jewelry电视,http://wowzaprod134-i.akamaihd.net/hls/live/577814/ccddaf02/playlist.m3u8
Free电视,https://edge.free-speech-tv-live.top.comcast.net/out/u/fstv.m3u8
Darcizzle电视,http://30a-tv.com/darcizzle.m3u8
Docurama电视,https://cinedigm.vo.llnwd.net/conssui/amagi_hls_data_xumo1234A-docuramaA/CDN/master.m3u8
Music电视,https://cmctv.ios.internapcdn.net/cmctv_vitalstream_com/live_1/CMC-TV/master.m3u8?fluxustv.m3u8
CBS新闻,http://cbsnewshd-lh.akamaihd.net/i/CBSNHD_7@199302/master.m3u8
CON电视,https://cinedigm.vo.llnwd.net/conssui/amagi_hls_data_xumo123-contv/CDN/master.m3u8
Dance电视,https://vcndstv.teleosmedia.com/stream/dstv/dstv/seglist_720p.m3u8
央视频道,#genre#
CCTV1综合,http://live-temp-litchi-hls-yf.jstv.com/live/zhibo-cctv1gq/online.m3u8#http://112.50.243.8/PLTV/88888888/224/3221225922/1.m3u8
CCTV2财经,http://112.50.243.8/PLTV/88888888/224/3221225923/1.m3u8
CCTV3综艺,http://ivi.bupt.edu.cn/hls/cctv3.m3u8#http://223.110.241.130:6610/gitv/live1/G_CCTV-3-HQ/.m3u8
CCTV4国际亚洲,http://112.50.243.8/PLTV/88888888/224/3221225802/1.m3u8#https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctv4_2/index.m3u8#http://ivi.bupt.edu.cn/hls/cctv4.m3u8
